,Cities,Country,Temperature,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Longitude,Latitude,Date
261,Plettenberg Bay,ZA,58.32,58.32,58.32,88,100,7.43,23.37,-34.05,2019-10-03 03:05:30
262,Barsovo,RU,48.2,48.2,48.2,81,40,13.42,73.17,61.17,2019-10-03 03:05:31
263,Shu,KZ,54.98,54.98,54.98,37,0,1.79,73.76,43.6,2019-10-03 03:05:32
264,Sao Filipe,CV,77.39,77.39,77.39,86,0,10.92,-24.5,14.9,2019-10-03 03:05:34
265,Walvis Bay,NA,55.4,55.4,55.4,93,0,9.17,14.51,-22.95,2019-10-03 03:05:35
266,Pisco,PE,63.28,62.6,64.0,82,0,8.05,-76.2,-13.71,2019-10-03 03:05:36
267,Taltal,CL,50.48,50.48,50.48,86,0,1.16,-70.49,-25.41,2019-10-03 03:05:37
268,Burns Lake,CA,39.19,39.19,39.19,98,100,1.3,-125.76,54.23,2019-10-03 03:05:38
269,Katobu,ID,91.86,91.86,91.86,41,25,8.03,122.53,-4.94,2019-10-03 03:05:40
270,Tuatapere,NZ,48.0,48.0,48.0,89,67,10.0,167.69,-46.13,2019-10-03 03:05:41
271,Rafaela,AR,57.0,57.0,57.0,55,5,5.99,-61.49,-31.25,2019-10-03 03:00:42
272,Pontes e Lacerda,BR,75.68,75.68,75.68,64,32,2.28,-59.33,-15.23,2019-10-03 03:05:43
273,Imbituba,BR,69.8,69.8,69.8,94,40,6.93,-48.67,-28.24,2019-10-03 03:05:44
274,Augusta,US,42.82,39.0,46.4,75,1,9.17,-69.78,44.31,2019-10-03 03:05:46
275,Labuhan,ID,91.07,91.07,91.07,53,0,1.77,115.51,-2.54,2019-10-03 03:05:47
276,Dubrovnik,HR,60.62,59.0,62.6,77,0,8.05,18.09,42.65,2019-10-03 03:01:08
277,Jacareacanga,BR,73.52,73.52,73.52,90,32,2.24,-57.76,-6.22,2019-10-03 03:05:49
278,Whitehorse,CA,44.28,39.99,50.0,46,75,8.05,-135.06,60.72,2019-10-03 03:03:08
279,Ketchikan,US,51.8,51.8,51.8,87,90,4.7,-131.65,55.34,2019-10-03 03:05:52
280,Palmer,AU,68.23,62.6,73.0,67,20,10.29,139.16,-34.85,2019-10-03 03:05:53
281,Manokwari,ID,79.13,79.13,79.13,72,16,4.85,134.08,-0.87,2019-10-03 03:05:41
282,Zambezi,ZM,64.59,64.59,64.59,65,43,2.62,23.12,-13.55,2019-10-03 03:05:55
283,Hualmay,PE,61.24,61.24,61.24,91,10,14.94,-77.61,-11.1,2019-10-03 03:05:57
284,Cartagena,ES,66.25,62.6,69.01,82,74,3.36,-1.0,37.63,2019-10-03 03:01:16
285,Sitka,US,56.03,55.0,57.0,94,89,11.01,-99.65,37.17,2019-10-03 03:05:38
286,Vao,EE,41.98,41.98,41.98,85,94,4.7,26.19,59.1,2019-10-03 03:06:00
287,Kibondo,TZ,63.78,63.78,63.78,90,24,1.01,30.72,-3.59,2019-10-03 03:06:01
288,Makasar,ID,89.53,87.8,91.99,58,20,4.7,106.88,-6.28,2019-10-03 03:06:02
289,Tura,RU,35.32,35.32,35.32,96,100,7.09,100.22,64.27,2019-10-03 03:02:03
290,Severnoye,RU,45.6,45.6,45.6,94,100,10.8,52.54,54.09,2019-10-03 03:06:05
291,Pedernales,EC,74.63,74.63,74.63,82,83,9.22,-80.05,0.07,2019-10-03 03:06:06
292,Mayumba,GA,76.11,76.11,76.11,82,100,7.09,10.65,-3.44,2019-10-03 03:06:07
293,Redcliffe,AU,74.26,72.0,77.0,43,0,8.05,115.94,-31.94,2019-10-03 03:06:08
294,Waingapu,ID,89.03,89.03,89.03,30,1,17.25,120.26,-9.65,2019-10-03 03:06:10
295,Yar-Sale,RU,39.55,39.55,39.55,89,66,10.83,70.83,66.83,2019-10-03 03:06:11
296,Griffith,AU,90.01,89.6,91.0,13,0,17.22,146.06,-34.29,2019-10-03 03:06:12
297,Dunedin,NZ,50.0,50.0,50.0,71,99,11.99,170.5,-45.87,2019-10-03 03:01:50
298,Vesoul,FR,38.68,35.6,39.99,100,90,3.27,6.16,47.62,2019-10-03 03:06:14
299,Mondragone,IT,63.01,60.01,68.0,88,0,3.36,13.89,41.11,2019-10-03 03:06:15
300,Mahebourg,MU,73.18,73.0,73.4,94,75,8.05,57.7,-20.41,2019-10-03 03:05:32
301,Praya,ID,87.8,87.8,87.8,55,20,11.41,116.27,-8.71,2019-10-03 03:06:18
302,Morro Bay,US,60.24,57.0,63.0,82,1,4.56,-120.85,35.37,2019-10-03 03:06:19
303,Manicore,BR,78.34,78.34,78.34,69,33,1.41,-61.3,-5.81,2019-10-03 03:03:07
304,Nemesvamos,HU,49.48,48.2,50.0,76,0,24.16,17.87,47.06,2019-10-03 03:06:21
305,Bradford,GB,37.35,34.0,41.0,93,0,4.7,-1.75,53.79,2019-10-03 03:06:22
306,Mount Gambier,AU,62.6,62.6,62.6,77,90,12.75,140.78,-37.83,2019-10-03 03:06:24
307,Kavaratti,IN,82.4,82.4,82.4,83,20,4.7,72.64,10.57,2019-10-03 03:03:56
308,Bosaso,SO,85.49,85.49,85.49,65,61,16.33,49.18,11.28,2019-10-03 03:04:39
309,Deputatskiy,RU,22.27,22.27,22.27,86,100,25.52,139.9,69.3,2019-10-03 03:06:27
310,Umm Kaddadah,SD,79.01,79.01,79.01,65,94,11.79,26.69,13.6,2019-10-03 03:06:28
311,Aleksandrovskiy Zavod,RU,40.97,40.97,40.97,33,0,8.77,117.94,50.92,2019-10-03 03:06:29
312,Loa Janan,ID,85.02,85.02,85.02,72,65,2.62,117.09,-0.58,2019-10-03 03:06:31
313,Los Llanos de Aridane,ES,76.98,71.6,82.0,88,75,10.29,-17.92,28.66,2019-10-03 03:06:32
314,Caxito,BR,60.56,60.56,60.56,82,0,5.55,-42.51,-22.65,2019-10-03 03:06:33
315,Nyurba,RU,33.61,33.61,33.61,69,100,6.44,118.35,63.29,2019-10-03 03:06:34
316,Alberton,ZA,49.42,48.0,50.0,66,0,9.66,28.13,-26.25,2019-10-03 03:06:35
317,Katherine,AU,95.0,95.0,95.0,14,0,16.11,132.26,-14.47,2019-10-03 03:06:37
318,Alofi,NU,82.4,82.4,82.4,74,75,6.93,-169.92,-19.06,2019-10-03 03:06:19
319,Port Blair,IN,82.17,82.17,82.17,66,48,1.61,92.75,11.67,2019-10-03 03:06:39
320,Cairns,AU,79.12,75.0,82.0,57,75,20.8,145.77,-16.92,2019-10-03 03:02:29
321,Erie,US,57.81,55.0,62.01,82,90,14.99,-80.09,42.13,2019-10-03 03:05:21
322,Darhan,MN,37.46,37.46,37.46,45,0,1.72,105.92,49.49,2019-10-03 03:06:42
323,Jardim,BR,71.03,71.03,71.03,84,61,1.1,-56.15,-21.48,2019-10-03 03:06:44
324,Timra,SE,37.92,36.0,39.2,74,94,5.82,17.33,62.49,2019-10-03 03:06:45
325,Rabo de Peixe,PT,69.58,68.0,71.01,73,75,2.24,-25.58,37.8,2019-10-03 03:06:46
326,Bossier City,US,79.81,75.2,84.2,74,1,2.59,-93.73,32.52,2019-10-03 03:05:17
327,Cacoal,BR,74.49,74.49,74.49,79,2,4.03,-61.44,-11.43,2019-10-03 03:06:48
328,Luang Prabang,LA,78.8,78.8,78.8,88,75,1.99,102.14,19.89,2019-10-03 03:06:15
329,Sola,TZ,68.24,68.24,68.24,67,65,6.49,33.8,-3.17,2019-10-03 03:06:51
330,Havelock,US,76.32,73.0,79.0,83,1,4.7,-76.9,34.88,2019-10-03 03:06:21
331,Cherskiy,RU,27.85,27.85,27.85,56,0,16.93,161.3,68.75,2019-10-03 03:06:53
332,Vagur,FO,47.11,47.11,47.11,73,1,13.96,-6.81,61.47,2019-10-03 03:06:54
333,Lusaka,ZM,66.32,66.32,66.32,72,64,9.15,28.28,-15.42,2019-10-03 03:06:56
334,Conceicao do Araguaia,BR,72.31,72.31,72.31,89,0,3.04,-49.26,-8.26,2019-10-03 03:03:59
335,Bulungu,CD,70.24,70.24,70.24,91,62,0.85,18.6,-4.54,2019-10-03 03:06:58
336,Derac,HT,72.15,72.15,72.15,92,87,3.83,-71.82,19.65,2019-10-03 03:06:59
337,Shingu,JP,78.8,78.8,78.8,69,75,23.04,135.99,33.72,2019-10-03 03:07:00
338,Amga,RU,31.07,31.07,31.07,55,100,8.95,131.98,60.89,2019-10-03 03:07:01
339,Huarmey,PE,61.31,61.31,61.31,90,69,16.96,-78.15,-10.07,2019-10-03 03:07:03
340,Sioux Lookout,CA,39.2,39.2,39.2,77,90,3.36,-91.92,50.1,2019-10-03 03:07:04
341,Lata,IN,39.87,39.87,39.87,56,7,4.83,78.62,30.78,2019-10-03 03:07:05
342,Horizontina,BR,66.0,66.0,66.0,96,99,0.89,-54.31,-27.63,2019-10-03 03:07:06
343,Guerrero Negro,MX,66.59,66.59,66.59,79,0,13.89,-114.04,27.97,2019-10-03 03:07:08
344,Coahuayana,MX,70.58,70.58,70.58,94,100,3.11,-100.35,18.62,2019-10-03 03:07:09
345,Sfantu Gheorghe,RO,58.91,57.0,63.0,87,0,5.82,26.83,44.65,2019-10-03 03:07:10
346,Pitimbu,BR,73.4,73.4,73.4,88,40,4.7,-34.81,-7.47,2019-10-03 03:07:11
347,Fenoarivo,MG,60.8,60.8,60.8,87,75,4.7,47.44,-18.93,2019-10-03 03:07:13
348,Beira,ES,51.21,46.4,55.99,100,100,5.82,-8.36,43.2,2019-10-03 03:07:14
349,Malangwa,CD,70.92,70.92,70.92,93,4,2.13,17.57,-2.84,2019-10-03 03:07:15
350,Kiama,AU,81.03,73.99,86.0,16,20,10.29,150.86,-34.67,2019-10-03 03:07:16
351,Batagay,RU,29.9,29.9,29.9,42,100,9.64,134.64,67.65,2019-10-03 03:07:18
352,Te Anau,NZ,43.98,43.98,43.98,76,8,9.17,167.72,-45.41,2019-10-03 03:07:19
353,Korcula,HR,59.0,59.0,59.0,93,75,4.7,17.14,42.96,2019-10-03 03:07:20
354,Port Saint Lucie,US,78.58,75.0,81.0,74,40,10.29,-80.35,27.29,2019-10-03 03:07:21
355,New Smyrna Beach,US,75.65,71.01,80.01,78,40,4.34,-80.93,29.03,2019-10-03 03:07:23
356,Salina,US,56.62,55.0,57.99,87,90,17.22,-97.61,38.84,2019-10-03 03:02:27
357,Altamirano,AR,47.64,46.99,48.2,76,0,9.17,-58.15,-35.36,2019-10-03 03:07:25
358,Sayyan,YE,66.59,66.59,66.59,74,34,0.85,44.32,15.17,2019-10-03 03:07:26
359,Kahului,US,80.13,75.99,86.0,62,40,26.4,-156.47,20.89,2019-10-03 03:02:10
360,Ponta do Sol,BR,71.37,71.37,71.37,51,0,3.04,-46.0,-20.63,2019-10-03 03:07:28
361,Aswan,EG,78.8,78.8,78.8,27,0,9.17,32.9,24.09,2019-10-03 03:07:30
362,Cockburn Town,TC,82.98,82.98,82.98,68,11,3.76,-71.14,21.46,2019-10-03 03:04:46
363,Portland,US,46.27,39.99,52.0,66,75,8.05,-70.25,43.66,2019-10-03 02:58:59
364,Lavrentiya,RU,34.98,34.98,34.98,80,62,13.53,-170.99,65.58,2019-10-03 03:07:33
365,Oudtshoorn,ZA,59.0,59.0,59.0,87,100,6.93,22.2,-33.59,2019-10-03 03:07:34
366,Hun,BE,42.58,39.99,46.4,86,20,8.05,4.87,50.34,2019-10-03 03:07:35
367,Adwa,ET,60.57,60.57,60.57,74,4,5.39,38.9,14.16,2019-10-03 03:07:37
368,Monster,NL,50.95,46.99,55.0,93,40,6.93,4.17,52.03,2019-10-03 03:07:38
369,Gerash,IR,73.4,73.4,73.4,88,0,3.83,54.14,27.67,2019-10-03 03:07:39
370,Hofn,IS,31.31,31.31,31.31,99,100,13.85,-15.21,64.25,2019-10-03 03:07:40
371,Peniche,PT,57.97,55.99,60.8,82,0,6.93,-9.38,39.36,2019-10-03 03:07:42
372,Tobol,SE,35.71,33.8,37.4,86,52,5.82,12.54,59.83,2019-10-03 03:07:43
373,Aginskoye,RU,43.06,43.06,43.06,34,47,5.08,114.54,51.11,2019-10-03 03:07:44
374,Bad Ems,DE,45.0,41.0,48.0,100,40,10.29,7.71,50.34,2019-10-03 03:07:45
375,Foam Lake,CA,38.15,38.15,38.15,79,11,4.56,-103.53,51.65,2019-10-03 03:07:47
376,Xinmin,CN,60.8,60.8,60.8,82,75,11.18,122.83,42.0,2019-10-03 03:07:48
377,Nantucket,US,56.46,55.0,57.99,87,90,17.22,-70.1,41.28,2019-10-03 03:05:26
378,Aksarayskiy,RU,53.13,53.01,53.6,93,0,4.47,48.01,46.79,2019-10-03 03:07:50
379,Adrar,DZ,80.6,80.6,80.6,11,0,11.41,-0.29,27.87,2019-10-03 03:07:51
380,Phan Thiet,VN,85.29,85.29,85.29,67,32,2.57,108.1,10.93,2019-10-03 03:07:53
381,Arman,RU,32.28,32.28,32.28,71,94,4.47,150.17,59.7,2019-10-03 03:07:54
382,Solton,RU,40.31,40.31,40.31,47,0,4.45,86.48,52.84,2019-10-03 03:07:55
383,Arlit,NE,86.53,86.53,86.53,12,59,10.09,7.39,18.74,2019-10-03 03:07:56
384,Sur,OM,83.56,83.56,83.56,63,0,11.12,59.53,22.57,2019-10-03 03:07:58
385,Villamartin,ES,62.55,61.0,64.0,82,0,1.12,-5.64,36.86,2019-10-03 03:07:59
386,Narsaq,GL,51.8,51.8,51.8,32,100,29.97,-46.05,60.91,2019-10-03 03:08:00
387,Pitsunda,GE,66.25,62.6,69.01,55,0,13.42,40.34,43.16,2019-10-03 03:08:01
388,Hukeri,IN,73.4,73.4,73.4,88,40,3.94,74.6,16.23,2019-10-03 03:08:03
389,Miri,NG,70.35,70.35,70.35,85,89,4.12,9.75,10.31,2019-10-03 03:08:04
390,Mbandaka,CD,68.75,68.75,68.75,98,62,2.57,18.26,0.05,2019-10-03 03:06:03
391,Samarai,PG,76.11,76.11,76.11,92,100,8.34,150.67,-10.62,2019-10-03 03:08:06
392,Morant Bay,JM,82.4,82.4,82.4,78,20,11.41,-76.41,17.88,2019-10-03 03:08:08
393,Ballitoville,ZA,58.87,54.0,62.01,77,0,9.17,31.21,-29.54,2019-10-03 03:08:09
394,Nuuk,GL,50.11,48.0,51.8,34,19,19.46,-51.74,64.17,2019-10-03 03:08:10
395,Eureka,US,52.48,50.0,53.6,76,1,8.05,-124.16,40.8,2019-10-03 03:06:02
396,Lobito,AO,71.23,71.23,71.23,86,94,4.43,13.55,-12.35,2019-10-03 03:08:13
397,Opovo,RS,58.12,57.2,59.0,100,75,8.05,20.43,45.05,2019-10-03 03:08:14
398,Sobolevo,RU,51.48,51.48,51.48,93,95,10.27,31.9,54.43,2019-10-03 03:08:15
399,Road Town,VG,82.72,81.0,84.2,70,40,4.7,-64.62,18.42,2019-10-03 03:05:01
400,Port Hardy,CA,50.0,50.0,50.0,93,90,14.99,-127.42,50.7,2019-10-03 03:08:18
401,Kargala,RU,41.97,41.0,43.0,74,0,7.0,83.96,56.62,2019-10-03 03:08:19
402,Husavik,CA,41.32,39.99,42.01,83,100,5.7,-96.99,50.56,2019-10-03 03:07:58
403,Porto Belo,BR,68.81,66.99,70.0,94,20,4.7,-48.54,-27.15,2019-10-03 03:08:21
404,Soyo,AO,76.65,76.65,76.65,84,100,6.31,12.37,-6.13,2019-10-03 03:08:22
405,Cabedelo,BR,73.4,73.4,73.4,88,40,4.7,-34.84,-6.97,2019-10-03 03:08:24
406,Itoman,JP,84.9,82.4,87.01,79,20,4.7,127.67,26.12,2019-10-03 03:08:25
407,Uppsala,SE,40.53,39.2,42.01,100,100,9.17,17.64,59.86,2019-10-03 03:08:26
408,Misratah,LY,78.32,78.32,78.32,65,31,19.04,15.09,32.38,2019-10-03 03:08:27
409,Ginda,IN,73.4,73.4,73.4,88,40,3.36,78.49,30.69,2019-10-03 03:08:29
410,Dasoguz,TM,41.9,39.2,44.6,80,0,2.24,59.97,41.84,2019-10-03 03:08:30
411,Bambous Virieux,MU,73.2,73.0,73.4,94,75,8.05,57.76,-20.34,2019-10-03 03:08:31
412,Tonantins,BR,75.95,75.95,75.95,85,98,3.51,-67.77,-2.86,2019-10-03 03:08:32
413,Broome,GB,40.55,35.6,46.0,86,1,6.8,1.45,52.47,2019-10-03 03:07:35
414,Bonnyville,CA,46.4,46.4,46.4,49,5,5.82,-110.74,54.27,2019-10-03 03:08:35
415,Khandyga,RU,27.6,27.6,27.6,57,91,2.24,135.58,62.65,2019-10-03 03:08:36
416,Kieta,PG,78.52,78.52,78.52,84,100,5.1,155.63,-6.22,2019-10-03 03:08:37
417,Najran,SA,71.6,71.6,71.6,37,0,2.66,44.22,17.54,2019-10-03 03:08:38
418,Mandera,ET,77.24,77.24,77.24,70,81,5.97,41.86,3.94,2019-10-03 03:08:40
419,Yulara,AU,96.8,96.8,96.8,7,15,11.41,130.99,-25.24,2019-10-03 03:08:41
420,Saint-Claude,FR,42.58,37.99,46.4,75,0,2.24,5.86,46.39,2019-10-03 03:08:42
421,Pajapan,MX,72.31,72.31,72.31,89,74,1.57,-94.69,18.26,2019-10-03 03:08:43
422,Oranjemund,ZA,57.12,57.12,57.12,91,98,12.24,16.43,-28.55,2019-10-03 03:08:45
423,Mweka,CD,69.86,69.86,69.86,90,100,0.56,21.56,-4.85,2019-10-03 03:08:46
424,Ust-Omchug,RU,20.78,20.78,20.78,82,70,5.39,149.63,61.13,2019-10-03 03:08:47
425,Talnakh,RU,35.6,35.6,35.6,93,75,13.42,88.39,69.49,2019-10-03 03:08:48
426,Ewa Beach,US,82.71,77.0,87.8,88,90,10.29,-158.01,21.32,2019-10-03 03:08:49
427,Bongandanga,CD,69.47,69.47,69.47,96,100,1.32,21.07,1.51,2019-10-03 03:08:51
428,Mugur-Aksy,RU,20.06,20.06,20.06,54,0,4.43,90.44,50.38,2019-10-03 03:08:52
429,Mecca,SA,78.39,78.39,78.39,81,26,3.04,39.83,21.43,2019-10-03 03:08:53
430,Billings,US,39.56,37.0,42.8,70,1,8.05,-108.5,45.79,2019-10-03 03:07:54
431,Tazovskiy,RU,42.66,42.66,42.66,97,100,12.86,78.7,67.47,2019-10-03 03:04:33
432,Pavlodar,KZ,35.6,35.6,35.6,80,0,2.24,76.96,52.28,2019-10-03 03:08:57
433,Riyadh,SA,80.6,80.6,80.6,28,0,3.36,46.72,24.63,2019-10-03 03:07:03
434,Angoram,PG,83.94,83.94,83.94,85,59,4.07,144.07,-4.06,2019-10-03 03:08:59
435,Kambove,CD,60.74,60.74,60.74,79,0,6.8,26.6,-10.88,2019-10-03 03:09:00
436,Biak,ID,68.8,68.8,68.8,93,71,3.38,122.88,-0.91,2019-10-03 03:09:01
437,San Luis,AR,57.42,57.42,57.42,18,10,29.75,-66.34,-33.3,2019-10-03 03:09:03
438,Creel,MX,55.57,55.57,55.57,88,12,2.01,-107.63,27.75,2019-10-03 03:09:04
439,Dillon,US,35.55,35.01,36.0,74,1,5.82,-112.64,45.22,2019-10-03 03:09:05
440,Parana,BR,73.4,73.4,73.4,100,75,2.24,-72.89,-7.52,2019-10-03 03:09:06
441,Chiredzi,ZW,58.49,58.49,58.49,91,34,3.89,31.67,-21.05,2019-10-03 03:09:07
442,Singaraja,ID,81.92,81.92,81.92,68,0,6.11,115.08,-8.11,2019-10-03 03:09:09
443,Brae,GB,47.19,46.4,48.2,76,67,10.29,-1.35,60.4,2019-10-03 03:09:10
444,Kidal,ML,83.07,83.07,83.07,48,9,4.81,1.41,18.44,2019-10-03 03:09:11
445,Nome,US,78.42,75.0,84.0,88,1,3.47,-94.42,30.04,2019-10-03 03:06:59
446,Saint-Augustin,CA,42.62,39.0,46.0,75,20,2.24,-73.98,45.63,2019-10-03 03:05:40
447,San Quintin,PH,85.74,85.74,85.74,66,46,4.27,120.52,17.54,2019-10-03 03:09:14
448,Praia,BR,68.0,68.0,68.0,52,0,5.82,-43.81,-20.25,2019-10-03 03:09:16
449,Breytovo,RU,42.48,42.48,42.48,94,100,2.06,37.86,58.3,2019-10-03 03:09:17
450,Gizo,IL,65.44,60.01,71.6,78,0,3.36,34.94,31.8,2019-10-03 03:09:18
451,Bowen,AU,77.0,77.0,77.0,61,40,23.04,148.25,-20.01,2019-10-03 03:09:19
452,Patan,NP,69.8,69.8,69.8,88,75,2.53,85.33,27.67,2019-10-03 03:09:21
453,Parkes,AU,88.0,88.0,88.0,10,50,1.01,148.18,-33.14,2019-10-03 03:02:48
454,Basco,US,68.5,63.0,77.0,100,90,5.82,-91.2,40.33,2019-10-03 03:09:23
455,Udachnyy,RU,24.8,24.8,24.8,92,90,4.47,112.4,66.42,2019-10-03 03:09:24
456,Panaba,MX,79.04,79.04,79.04,90,0,7.23,-88.27,21.28,2019-10-03 03:09:25
457,Uyuni,BO,44.88,44.88,44.88,25,0,2.1,-66.82,-20.46,2019-10-03 03:09:27
458,Itarema,BR,75.05,75.05,75.05,81,0,9.22,-39.92,-2.92,2019-10-03 03:09:28
459,Imeni Babushkina,RU,39.48,39.48,39.48,96,87,3.98,43.13,59.76,2019-10-03 03:09:29
460,Madimba,CM,75.2,75.2,75.2,100,75,3.36,9.93,4.42,2019-10-03 03:09:30
461,Ayr,AU,80.01,80.01,80.01,61,79,10.0,147.4,-19.58,2019-10-03 03:09:32
462,Tarauaca,BR,74.85,74.85,74.85,75,83,0.27,-70.77,-8.16,2019-10-03 03:04:56
463,Tautira,PF,80.33,80.01,80.6,65,20,12.75,-149.15,-17.73,2019-10-03 03:08:16
464,Levice,SK,50.02,48.99,51.01,71,75,8.05,18.6,48.22,2019-10-03 03:09:35
465,Moron,HT,80.23,80.23,80.23,77,100,2.68,-74.26,18.56,2019-10-03 03:09:36
466,Coupar Angus,GB,36.99,34.0,39.99,93,0,5.82,-3.27,56.55,2019-10-03 03:09:37
467,Lingao,CN,80.23,80.23,80.23,80,0,3.04,109.69,19.91,2019-10-03 03:09:39
468,Louis Trichardt,ZA,46.52,46.52,46.52,92,1,4.18,29.91,-23.04,2019-10-03 03:09:40
469,Kalmunai,LK,83.56,83.56,83.56,65,2,5.21,81.82,7.42,2019-10-03 03:09:41
470,Thompson,CA,26.6,26.6,26.6,73,5,4.52,-97.86,55.74,2019-10-03 03:07:50
471,Novo Aripuana,BR,80.39,80.39,80.39,63,92,2.48,-60.38,-5.12,2019-10-03 03:09:43
472,Tarko-Sale,RU,46.0,46.0,46.0,95,100,1.01,77.78,64.92,2019-10-03 03:09:45
473,Dali,CN,68.75,68.75,68.75,67,100,8.63,109.94,34.79,2019-10-03 03:09:46
474,Chumikan,RU,38.78,38.78,38.78,36,33,5.91,135.31,54.72,2019-10-03 03:09:47
475,Mahasamund,IN,77.0,77.0,77.0,94,20,4.7,82.1,21.11,2019-10-03 03:09:48
476,Yomou,GN,71.07,71.07,71.07,99,100,1.43,-9.26,7.57,2019-10-03 03:09:49
477,Mopti,ML,83.49,83.49,83.49,58,69,8.81,-4.19,14.49,2019-10-03 03:09:51
478,Tutoia,BR,72.92,72.92,72.92,86,0,4.88,-42.27,-2.76,2019-10-03 03:05:57
479,Quelimane,MZ,72.18,72.18,72.18,90,99,4.54,36.89,-17.88,2019-10-03 03:09:53
480,Anadyr,RU,33.39,33.01,33.8,64,75,8.95,177.51,64.73,2019-10-03 03:09:54
481,Saint-Leu,RE,69.24,62.01,73.4,73,0,4.7,55.28,-21.15,2019-10-03 03:09:55
482,Mogadishu,SO,76.41,76.41,76.41,86,99,7.52,45.34,2.04,2019-10-03 03:08:57
483,Kisangani,CD,70.04,70.04,70.04,99,100,2.55,25.21,0.52,2019-10-03 03:09:58
484,Sakaiminato,JP,85.17,84.2,86.0,62,20,21.92,133.23,35.55,2019-10-03 03:09:59
485,Neijiang,CN,75.21,75.21,75.21,80,99,3.85,105.06,29.59,2019-10-03 03:10:00
486,Ahuimanu,US,82.81,77.0,87.8,88,90,10.29,-157.84,21.44,2019-10-03 03:06:39
487,Gwadar,PK,83.72,83.72,83.72,77,100,5.57,62.33,25.12,2019-10-03 03:10:03
488,Oranjestad,AW,84.2,84.2,84.2,79,40,14.99,-70.03,12.52,2019-10-03 03:05:44
489,Cotonou,BJ,75.2,75.2,75.2,94,20,4.7,2.43,6.37,2019-10-03 03:10:05
490,Verkhoyansk,RU,26.77,26.77,26.77,40,100,6.04,133.39,67.55,2019-10-03 03:06:11
491,Pozo Colorado,PY,60.92,60.92,60.92,83,100,6.29,-58.8,-23.49,2019-10-03 03:10:07
492,Rosetta,EG,68.0,68.0,68.0,94,0,9.15,30.42,31.4,2019-10-03 03:10:09
493,Baker City,US,47.71,43.0,51.8,49,1,8.05,-117.83,44.77,2019-10-03 03:10:10
494,Kuryk,KZ,58.77,58.77,58.77,30,0,8.97,51.68,43.18,2019-10-03 03:10:11
495,Borovichi,RU,42.45,42.45,42.45,92,100,3.83,33.91,58.39,2019-10-03 03:10:12
496,Hobyo,SO,78.47,78.47,78.47,86,100,6.38,48.53,5.35,2019-10-03 03:08:52
497,Fairbanks,US,36.43,35.01,37.99,100,90,9.17,-147.72,64.84,2019-10-03 03:01:45
498,Hervey Bay,AU,77.43,77.0,78.01,44,0,12.75,152.85,-25.3,2019-10-03 03:10:16
499,Bandarbeyla,SO,75.93,75.93,75.93,81,100,4.18,50.81,9.49,2019-10-03 03:10:17
500,Zhigansk,RU,27.6,27.6,27.6,64,23,3.74,123.37,66.77,2019-10-03 03:10:18
501,Evensk,RU,36.81,36.81,36.81,32,0,8.34,159.24,61.92,2019-10-03 03:10:20
502,Isernia,IT,61.59,60.01,64.4,93,75,4.7,14.24,41.6,2019-10-03 03:10:21
503,Longyearbyen,NO,35.6,35.6,35.6,74,75,18.34,15.63,78.22,2019-10-03 03:10:22
504,Mareeba,AU,80.13,75.0,82.99,57,75,20.8,145.42,-16.99,2019-10-03 03:10:23
505,Preobrazheniye,RU,69.39,69.39,69.39,55,100,4.99,133.91,42.9,2019-10-03 03:10:25
506,Greencastle,US,73.42,68.0,77.0,83,1,5.44,-86.86,39.64,2019-10-03 03:10:26
507,Tornio,FI,37.8,36.0,39.2,86,90,5.82,27.27,61.12,2019-10-03 03:10:27
508,Rimbey,CA,33.8,33.8,33.8,80,40,8.05,-114.24,52.64,2019-10-03 03:10:28
509,Tinogboc,PH,82.93,82.93,82.93,70,83,3.78,121.41,12.01,2019-10-03 03:10:30
510,Flinders,AU,81.97,73.99,86.0,16,20,10.29,150.85,-34.58,2019-10-03 03:10:19
511,Ryzdvyanyy,RU,50.86,50.0,51.8,93,0,6.71,41.84,45.26,2019-10-03 03:10:32
512,Padang,ID,78.34,78.34,78.34,84,97,14.23,100.36,-0.92,2019-10-03 03:10:33
513,Vilani,LV,44.37,44.37,44.37,94,100,7.23,26.92,56.55,2019-10-03 03:10:35
514,Aalen,DE,39.85,37.99,42.01,86,0,3.36,10.09,48.84,2019-10-03 03:06:18
515,Pedasi,PA,73.14,73.14,73.14,90,100,4.05,-80.03,7.53,2019-10-03 03:10:37
516,Cap Malheureux,MU,73.26,73.0,73.4,94,75,8.05,57.61,-19.98,2019-10-03 03:10:38
517,Cidreira,BR,63.87,63.87,63.87,89,100,10.22,-50.22,-30.17,2019-10-03 03:10:09
518,Paramirim,BR,67.95,67.95,67.95,75,0,9.15,-42.24,-13.44,2019-10-03 03:10:40
519,Chandbali,IN,85.59,85.59,85.59,69,100,5.39,86.74,20.77,2019-10-03 03:10:42
520,Songkhla,TH,82.35,80.6,84.2,79,75,3.36,100.6,7.2,2019-10-03 03:10:43
521,Camargo,MX,72.98,72.98,72.98,70,14,4.18,-105.17,27.69,2019-10-03 03:10:44
522,Cuambog,PH,88.84,87.8,90.0,66,20,4.7,125.85,7.31,2019-10-03 03:10:45
523,El Seibo,DO,75.2,75.2,75.2,94,40,3.56,-69.04,18.76,2019-10-03 03:10:47
